start	end	text
139000	142000	Que tengamos trazabilidad de lo que llegan,
142000	144000	de dónde llegan,
144000	146000	que lo hagan,
146000	148000	que quede un link pendiente
148000	151000	con una alerta para mí de revisar la tarea,
151000	155000	y que yo revise la tarea
155000	158000	y la pueda subir a la carpeta del cliente
158000	159000	y al cliente le digo,
159000	160000	me sabe listo,
160000	163000	está en la app o está en la página
163000	165000	lo que solicitó.
165000	166000	¿Sí me entendió?
166000	167000	Sí, sí.
167000	169000	Entonces mire que yo ya estoy canalizando
169000	171000	todo por acá y no a través mí.
171000	172000	Saturándose, sí.
172000	174000	Y aparte de eso la empresa
174000	176000	depende de mí.
176000	178000	Yo no estoy en funcionamiento,
178000	180000	por dicho, mi celular no está,
180000	181000	entonces qué hice?
181000	182000	Compré otro celular
182000	184000	y entonces le entregué el cliente
184000	186000	y los clientes el número de ahí también
186000	188000	y ellas tienen que estar consultando
188000	189000	todos los días.
189000	190000	Venga, ¿qué pendiente hay?
190000	191000	Todos los días no.
191000	192000	Hacen dos consultables.
192000	193000	Venga, ¿qué pendientes?
193000	195000	Entonces, ellas tienen trazabilidad
195000	196000	de algunas cosas,
196000	198000	pero volvemos a lo mismo.
198000	199000	Ellas hacen
199000	200000	y me mandan a mí
200000	201000	y se me convierte,
201000	202000	o sea,
202000	204000	no hay organización en el sentido.
204000	205000	Entonces, digamos,
205000	206000	la primera línea de negocio es esa.
206000	207000	Ya.
207000	210000	Y eso es lo que más o menos
210000	211000	pretendo.
211000	214000	Y yo creería que para los audios
214000	216000	que prestan la asesoría empresarial,
216000	218000	eso debería funcionar así.
218000	220000	El cliente tenga un link,
220000	221000	ingrese,
221000	223000	una app, la descargue,
223000	225000	su abogado,
225000	226000	de confianza,
226000	227000	ingrese,
227000	229000	está la carpeta del cliente
229000	231000	de todo lo que se le ha hecho,
231000	232000	o sea, que sea de ahí.
232000	233000	Sí, mi historial, sí.
233000	234000	Toque que de ahí
234000	236000	y que yo pueda ir subiendo
236000	237000	las pendientes ahí
237000	238000	que le lleguen mensajes
238000	239000	y todo eso.
239000	240000	La trazabilidad de todo.
240000	241000	Ok.
241000	243000	Con un link también
243000	244000	para subirle
244000	246000	la cuenta de cobre,
246000	247000	la mes,
247000	249000	esta su cuenta de cobre.
249000	251000	No sé hasta dónde se puede automatizar
251000	252000	esa cuenta,
252000	253000	porque eso es la misma cuenta,
253000	254000	la misma mes,
254000	255000	por el mismo servicio.
255000	256000	Eso es un modelo,
256000	257000	eso es un cambio de la fecha.
257000	258000	Ojo.
259000	260000	Que sea ahí.
262000	263000	¿Qué más?
263000	264000	Entonces eso sería integrado
264000	265000	como esa parte.
265000	266000	Sí.
266000	267000	El otro nicho de mirozo
267000	268000	es el litigio.
268000	269000	Los procesos.
270000	271000	Controles, digamos
271000	272000	que el control de los procesos
272000	273000	digamos que ahí
273000	275000	se volvió muy sencillo ya,
275000	276000	porque la otra vez
276000	277000	no tenía que ir a buscar,
277000	278000	es subir.
278000	280000	Ahora ya que usted consulga,
280000	282000	incluso yo pago una página,
282000	283000	yo me dicen,
283000	284000	salió un proceso,
284000	285000	yo lo reviso,
285000	286000	que salió
286000	287000	y simplemente agenda.
288000	289000	Entonces digamos que
289000	290000	lo del litigio,
290000	292000	lo del litigio es
293000	295000	la recepción del cliente,
296000	297000	presentación de la demanda,
297000	299000	seguimiento del proceso
301000	302000	y listo,
302000	303000	mi sentencia
303000	304000	y ya el cobro.
304000	305000	Pero digamos el litigio
305000	306000	se convirtió,
306000	308000	está ya, digamos
308000	309000	que hay mucha tecnología
309000	310000	en este momento para eso,
310000	311000	pero sin embargo
311000	312000	no la tiene que integrar
312000	313000	pues iba a tener
313000	314000	una plataforma
314000	315000	para qué,
315000	317000	para que uno descarga
317000	318000	cada momento que le llegue
318000	319000	y usted lo descarga.
319000	321000	Entonces sería descargarlo,
321000	322000	tener también las
322000	323000	las carpetas del cliente,
323000	324000	el litigio ingresa
324000	325000	como una clave
325000	326000	y mire su proceso
326000	327000	en qué estancia
327000	328000	ha salido algo.
328000	329000	Más informativo para el cliente.
329000	330000	Más informativo, sí.
330000	331000	Que usted pueda tener
331000	332000	todo ello.
335000	336000	¿Qué más?
339000	340000	Pues digamos que
340000	341000	para las personas
341000	342000	hay una muchacha
342000	343000	que tiene,
343000	344000	usted conoce el protonado,
344000	345000	sí,
345000	346000	de matemáticas de ahí.
348000	349000	Le montó
349000	350000	una plataforma
350000	351000	a la esposa,
352000	353000	pero ya litiga
353000	354000	mucho en civil,
354000	355000	muchas demandas
355000	356000	por volumen.
358000	359000	Entonces tiene formatos
360000	361000	de formato
362000	363000	de la demanda de cultiva,
363000	364000	pero es que eso no cambia.
365000	366000	Suscribir un título
366000	367000	por tanto,
367000	368000	entonces,
368000	369000	donde está el formato,
369000	370000	usted simplemente en un excel
370000	371000	cuanta todos los datos
371000	372000	de la demanda,
372000	373000	así se lo va a hacer
373000	374000	y cómo combinar
374000	375000	correspondencia al work.
375000	376000	Entonces,
376000	377000	lo que hacen es así,
377000	378000	pero esa información
378000	379000	y también tiene modelos
379000	380000	de,
380000	381000	usted necesita hacer,
381000	382000	por ejemplo,
382000	383000	un derecho de petición
384000	385000	o un
385000	386000	priorídico,
386000	387000	entonces,
387000	388000	priorídico
388000	389000	con estos datos.
389000	390000	Entonces,
390000	391000	le monta en la base,
391000	392000	digamos,
392000	393000	que para esos procesos
393000	394000	que son muy estandarizados,
394000	395000	pero, por ejemplo,
395000	396000	para la demanda laboral,
396000	398000	es imposible tener formato.
398000	399000	Claro.
399000	400000	Porque todos los hechos
400000	401000	son diferentes,
401000	402000	las pretensiones son diferentes,
402000	403000	entonces, muchas cosas.
404000	406000	Más que toda la página,
407000	408000	es serviría
410000	411000	para darle,
412000	413000	por ejemplo,
413000	414000	pues,
414000	415000	el tema que yo estoy haciendo,
415000	416000	para mí,
416000	417000	una página
417000	418000	me serviría mucho en ese sentido
418000	419000	para canalizar todo eso
420000	421000	y organizar ese tema
421000	422000	que no dependa
422000	423000	tanto de la oficina de mí.
423000	424000	Sí.
424000	425000	En esa parte,
425000	426000	en el litigio,
426000	427000	ya sería como informativo,
428000	429000	porque
429000	430000	eso es lo que hay ahora
430000	431000	de procesos.
432000	433000	Digamos que eso es lo que se hace.
434000	435000	Listo.
435000	436000	Entonces,
436000	437000	sería más que todo
437000	438000	como lo de la parte
439000	440000	de las empresas,
440000	441000	de la administración de información
441000	442000	con las empresas.
442000	443000	Sí, pero,
444000	445000	¿qué sucede con?
445000	446000	Con una página
446000	447000	o con la página?
447000	448000	No, pues,
448000	449000	en las dos.
451000	452000	Integrar las dos.
455000	456000	¿Puedo hacer?
456000	457000	Pero lo que tú me dices es,
457000	458000	bueno,
458000	459000	listo,
459000	460000	pero tú,
460000	461000	como puedes llevar,
461000	462000	por ejemplo,
462000	463000	John Haroll le mostró
463000	464000	la página
464000	465000	a todos.
465000	466000	Entonces,
466000	467000	son unos monstruos
467000	468000	pero grandísimos.
468000	469000	Esa página,
469000	470000	sí, es una cosa loca.
470000	471000	Esto.
471000	472000	Es uno de los más regulados.
473000	474000	Y Haroll,
474000	475000	sí,
475000	476000	conoce muy bien
476000	477000	el tema de,
477000	478000	de,
478000	479000	de ese tema de ellos,
479000	480000	como manera de información,
480000	481000	pero es que ellos
481000	482000	se manejan cantidades,
482000	483000	sí.
485000	486000	Porque,
486000	487000	digamos,
487000	488000	que esa,
489000	490000	como la podrías
491000	492000	para los abogados,
492000	493000	pero es que,
493000	494000	los que son abogados,
494000	495000	es que lo que pasa es que
495000	496000	permiten un diferente.
500000	501000	Sí.
501000	502000	¿Qué?
505000	506000	Porque es que
506000	507000	muchos abogados
507000	508000	se devoran empresas,
509000	510000	pero no creo que tengan
510000	511000	la cantidad
511000	512000	de empresas que yo tengo.
512000	513000	¿Se me entienden?
513000	514000	¿Por qué?
514000	515000	Porque por el perfil mío,
515000	516000	porque soy cantador
516000	517000	y porque
517000	518000	cuando escuchamos
518000	519000	comercial bien.
519000	520000	Pero yo,
520000	521000	con los abogados
521000	522000	que conozcan,
522000	523000	tienen tres,
523000	524000	cuatro empresas.
524000	525000	Acá me yo mania
525000	526000	mucho grudo.
526000	527000	Yo mania mucha gente.
529000	530000	Incluso,
530000	531000	yo era abogado,
531000	532000	no estaría primera de la esperanza.
532000	533000	¿Verdad?
534000	535000	Esa son todas.
536000	537000	Sí,
537000	538000	mucha gente,
538000	539000	mucha.
539000	540000	Tengo gente en Medellín.
540000	541000	Oh.
541000	542000	Tengo empresas
542000	543000	en Medellín.
543000	544000	Tengo empresas en el abogado.
547000	548000	Mucha cosa.
548000	549000	Y entonces,
549000	550000	ese es el tema.
551000	552000	Entonces,
552000	553000	por ejemplo,
553000	554000	el señor que me llamó,
554000	555000	yo no,
555000	556000	pero el que llamaba
556000	557000	Colbiza,
557000	558000	gracias al abogado.
558000	559000	Ah,
559000	560000	bueno,
560000	561000	y porque llegué
561000	562000	yo a ese tema,
562000	563000	por el perfil contador mío,
563000	564000	porque es que
564000	565000	rojibando
565000	566000	y trago,
566000	567000	y me necesitan
567000	568000	para temas comerciales,
568000	569000	entonces hacer estatutos,
569000	570000	hacer tal cosa,
570000	572000	las actas de las empresas,
572000	573000	ventas de empresas,
573000	574000	ligaciones,
574000	575000	todo eso.
578000	579000	Entonces,
579000	580000	no sé
580000	581000	cómo puedes integrar
581000	582000	para donde lea
582000	583000	otros abogados.
583000	584000	Sí.
584000	585000	Sí,
585000	586000	pero es que
586000	587000	tras que yo tengo,
587000	588000	no requieren a nadie
588000	589000	por no ser un hijo hasta ahí.
590000	591000	Y el tema del litíos
591000	592000	se volvió muy,
592000	593000	muy,
593000	594000	muy,
594000	595000	ya está muy sistematizado.
595000	596000	Es que es más,
596000	597000	mira cómo está.
620000	622000	Miré que prácticamente uno,
622000	623000	es que prácticamente
623000	624000	con esto sería...
633000	634000	Aquí yo tengo todo,
634000	635000	está la página alargada.
635000	636000	Sí.
637000	639000	Por acá yo puedo
639000	641000	solicitar un proceso
641000	643000	que me lo dejen ver
643000	644000	y que me lo carguen acá
644000	646000	o miran los que ya tengo cargado.
647000	648000	Miré.
649000	650000	Entonces,
650000	651000	miré los procesos.
651000	652000	Por ejemplo,
652000	653000	en el primero laboral,
653000	654000	tengo estos procesos.
654000	655000	Está todo el expediente.
657000	658000	Entonces,
658000	659000	digamos que hay que,
659000	660000	yo qué página puedo pedir.
660000	661000	Sí,
661000	662000	si es que es para todo mí.
662000	663000	Sí, claro.
664000	665000	Entonces,
665000	666000	frente a eso,
666000	667000	¿qué?
667000	668000	El cliente me pide
668000	669000	cualquier documento
669000	670000	y yo voy directamente
670000	671000	al expediente.
672000	673000	Miré
673000	674000	que están todos organizados.
674000	675000	Sí.
676000	677000	Sí.
678000	679000	Entonces,
679000	680000	decir que
680000	681000	montar una plataforma
681000	682000	para los jugadores,
682000	683000	¿qué?
683000	684000	O sea,
684000	685000	¿qué pueden necesitar
685000	686000	para los jugadores?
686000	687000	No sé.
687000	688000	Obviamente,
688000	689000	sí deben haber cosas nuevas.
689000	690000	O sea,
690000	691000	lo que pasa es que
691000	692000	de su parte,
692000	693000	usted no puede mirar
693000	694000	lo que ya está hecho.
694000	695000	Sí.
695000	696000	Ese es el tema.
696000	697000	Entonces,
697000	698000	mirar
698000	699000	qué necesitamos.
699000	700000	Pero,
700000	701000	ahí está la pregunta.
701000	702000	Por ejemplo,
702000	703000	el tema mío,
703000	704000	su sí es una necesidad
704000	705000	que es para mí,
705000	706000	y mirar
706000	707000	cómo lo tengo pues
707000	708000	pensado.
708000	709000	Sí, sí.
709000	710000	Sí, claro.
710000	711000	Listo, ¿vale?
711000	712000	No,
712000	713000	trabajemos usted lo otro.
713000	714000	Porque no se miran.
714000	715000	Entonces,
715000	716000	por ejemplo,
716000	717000	en esto,
717000	718000	¿qué podemos hacer?
718000	719000	No sé.
719000	720000	Puede ser,
720000	721000	como usted dice,
721000	722000	más informativo
722000	723000	para el cliente.
725000	726000	Sí.
726000	727000	Podría ser.
727000	728000	Pero,
728000	729000	en últimas,
729000	730000	¿qué pasa acá?
730000	732000	Yo tengo la información acá.
733000	735000	Yo puedo conectar una página
735000	736000	que me abra esta
736000	737000	y me lo saqué acá,
737000	739000	no necesariamente tiene que ingresar.
740000	742000	Yo creo que sí se puede hacer.
745000	747000	¿Para ir y descargarlo acá?
747000	748000	No,
748000	749000	que el cliente
749000	750000	ingrese con la clave
750000	751000	y pueda ingresar de una vez
751000	752000	a esta capa
752000	753000	no tener que cargar
753000	754000	toda esta información
754000	755000	en un drag.
755000	756000	O sea, sin tragar.
756000	757000	Sí, lo que ya
757000	758000	debería todo.
758000	759000	Por eso.
759000	760000	Y entonces, ¿qué pasa?
760000	761000	Para mí se convierte en un problema.
761000	762000	¿Por qué?
762000	763000	Pero, imagínate,
763000	764000	yo tener que estar cargando
764000	765000	todo eso a otro
765000	766000	cuando yo ya tengo eso acá.
766000	767000	El cliente me pide un documento,
767000	768000	se lo mando y ya.
769000	770000	¿Sí me entiendes?
770000	771000	Es eso.
772000	773000	Entonces, no,
776000	777000	no sé,
777000	778000	de pronto,
778000	779000	con la Inteligencia Artificial
779000	781000	me irá con integrar
781000	782000	servicios,
782000	783000	es su trabajo
783000	785000	que están haciendo muchos.
785000	786000	Ahora es
786000	788000	integrando la Inteligencia Artificial
788000	790000	a las páginas
790000	791000	que los tienen.
791000	792000	Que, por ejemplo,
792000	794000	lo que yo pretendo,
794000	795000	que la Inteligencia
795000	797000	me digan que,
797000	798000	por ejemplo,
798000	799000	una gran Inteligencia
799000	801000	que me requieren un memorando,
801000	802000	que la Inteligencia Artificial
802000	803000	sepa que es un memorando
803000	805000	si me lo gané de una vez,
805000	807000	en qué condiciones.
807000	808000	Entonces,
808000	809000	que coja de ahí
809000	810000	la carpeta
810000	811000	de ellos
811000	812000	y revisa el
812000	813000	reglamento de internet
813000	814000	de trabajo
814000	815000	y esos documentos que hay
815000	816000	en los relaciones
816000	817000	y hagan memorando
817000	818000	con base en el reno de internet
818000	819000	de la empresa
820000	821000	¿Qué me entiendes?
821000	823000	Hacer documentos.
823000	824000	Eso.
824000	825000	Una demanda.
825000	826000	Entonces, yo le cargo
826000	827000	toda la información
827000	828000	o documentos
828000	829000	que ella la revise
829000	830000	y me genere
830000	831000	y le damos el documento
831000	832000	que necesita
832000	833000	de esto que me cargó.
833000	834000	Entonces,
834000	835000	están estos documentos
835000	836000	cargados
836000	837000	que necesitan
839000	840000	que uno,
840000	841000	cuando vaya ya,
841000	842000	este,
842000	843000	ya prácticamente,
843000	845000	eso es una herramienta,
845000	846000	cierto,
846000	847000	que usted le ayuda.
847000	848000	Pero, obviamente,
848000	849000	a mí me hace la demanda
849000	850000	pero me toca revisar todo.
850000	851000	Claro, obviamente.
851000	852000	Pero el hecho de que me saque
852000	853000	los datos,
853000	854000	los radicados y todo eso,
854000	855000	los tengo que obvirmar,
855000	856000	pero el hecho de
856000	857000	tener que ir a pasar
857000	858000	todas las informaciones
858000	859000	o donde desgaste
859000	860000	o sea, el trabajo de la gente,
860000	861000	pero la idea es
861000	862000	que ya esté ahí,
862000	863000	ya con eso,
863000	864000	usted monta
864000	865000	juicioso todo el otro,
865000	866000	pero que integres
866000	868000	o entre la página
868000	869000	que se integres
869000	870000	para que todo lo que
870000	871000	llegue aquí al cliente
871000	872000	requiere
872000	873000	y a una vez lo va a sacar.
876000	877000	Claro.
877000	878000	Eso puede ser
878000	879000	como un aplicativo
879000	880000	para usted.
881000	882000	Es que no no seguramente
882000	883000	tiene que ser una página.
885000	886000	Eso.
886000	887000	Sino que puede ser
887000	888000	herramientas que a usted
888000	889000	les sean útiles.
889000	890000	Eso.
890000	891000	Y mirar en eso.
891000	892000	Eso sí, me puede.
894000	895000	Me voy a mirar eso
895000	896000	a ver con yo
896000	897000	cómo se puede hacer.
897000	898000	Todo se puede.
898000	899000	Mire,
899000	900000	que me puedes ofertar.
900000	901000	O sea,
901000	902000	mire que me pueden ofertar
902000	903000	y me voy a ofertar en vista.
903000	904000	Voy a mirar
904000	905000	entonces a ver
905000	906000	qué hago.
906000	907000	Ah,
907000	908000	pásame por favor.
908000	909000	Entonces,
909000	910000	el loco suyo.
910000	911000	Y...
914000	915000	Es que mire,
915000	916000	yo voy a revisar
916000	917000	el celular de mire.
920000	921000	Bien.
921000	922000	Todo eso.
